mars_base_internal_temperature: 19 | mars_base_external_temperature: 16 | mars_base_internal_humidity: 56 | mars_base_external_illuminance: 681 | mars_base_internal_co2: 0.041 | mars_base_internal_oxygen: 5.48
mars_base_internal_temperature: 21 | mars_base_external_temperature: 3 | mars_base_internal_humidity: 58 | mars_base_external_illuminance: 514 | mars_base_internal_co2: 0.049 | mars_base_internal_oxygen: 6.74
mars_base_internal_temperature: 20 | mars_base_external_temperature: 10 | mars_base_internal_humidity: 53 | mars_base_external_illuminance: 615 | mars_base_internal_co2: 0.076 | mars_base_internal_oxygen: 4.38
mars_base_internal_temperature: 21 | mars_base_external_temperature: 11 | mars_base_internal_humidity: 56 | mars_base_external_illuminance: 659 | mars_base_internal_co2: 0.028 | mars_base_internal_oxygen: 4.99
mars_base_internal_temperature: 29 | mars_base_external_temperature: 12 | mars_base_internal_humidity: 60 | mars_base_external_illuminance: 550 | mars_base_internal_co2: 0.043 | mars_base_internal_oxygen: 5.64
mars_base_internal_temperature: 27 | mars_base_external_temperature: 4 | mars_base_internal_humidity: 58 | mars_base_external_illuminance: 688 | mars_base_internal_co2: 0.092 | mars_base_internal_oxygen: 5.38
mars_base_internal_temperature: 28 | mars_base_external_temperature: 5 | mars_base_internal_humidity: 51 | mars_base_external_illuminance: 577 | mars_base_internal_co2: 0.023 | mars_base_internal_oxygen: 6.13
mars_base_internal_temperature: 24 | mars_base_external_temperature: 0 | mars_base_internal_humidity: 51 | mars_base_external_illuminance: 563 | mars_base_internal_co2: 0.09 | mars_base_internal_oxygen: 5.69
mars_base_internal_temperature: 27 | mars_base_external_temperature: 6 | mars_base_internal_humidity: 54 | mars_base_external_illuminance: 556 | mars_base_internal_co2: 0.078 | mars_base_internal_oxygen: 4.61
mars_base_internal_temperature: 21 | mars_base_external_temperature: 18 | mars_base_internal_humidity: 58 | mars_base_external_illuminance: 617 | mars_base_internal_co2: 0.081 | mars_base_internal_oxygen: 6.79
mars_base_internal_temperature: 24 | mars_base_external_temperature: 1 | mars_base_internal_humidity: 59 | mars_base_external_illuminance: 619 | mars_base_internal_co2: 0.039 | mars_base_internal_oxygen: 4.69
mars_base_internal_temperature: 30 | mars_base_external_temperature: 1 | mars_base_internal_humidity: 50 | mars_base_external_illuminance: 562 | mars_base_internal_co2: 0.082 | mars_base_internal_oxygen: 4.29
mars_base_internal_temperature: 22 | mars_base_external_temperature: 15 | mars_base_internal_humidity: 51 | mars_base_external_illuminance: 703 | mars_base_internal_co2: 0.094 | mars_base_internal_oxygen: 5.98
mars_base_internal_temperature: 25 | mars_base_external_temperature: 20 | mars_base_internal_humidity: 53 | mars_base_external_illuminance: 603 | mars_base_internal_co2: 0.059 | mars_base_internal_oxygen: 5.27
